DSL,API,Attempts
"codeUnit [public (packagename ""specifiedPackage"")] should BePackagePrivate;","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePackagePrivate()",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"constructor [private] should declaredIn class (implement ""specifiedType"");","constructors().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"constructor [public (haveNameMatching ""get"")] should declaredIn class [(packagename ""specifiedPackage"")];","constructors().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
"constructor [public (packagename ""specifiedPackage"")] should declaredIn class [(packagename ""anotherSpecifiedPackage"")];","constructors().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
"constructor [(haveNameMatching ""regex"")] should declaredIn class (implement ""type"");","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""type"")",0
"constructor [(haveNameMatching ""regex"")] should declaredIn class [(packagename ""specifiedPackage"")];","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
constructor [public] should declaredIn class [public];,constructors().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
constructor [private] should declaredIn class [static];,constructors().that().arePrivate().should().beDeclaredInClassesThat().areStatic(),0
constructor [protected] should declaredIn class [protected];,constructors().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
constructor [private] should not declaredIn class [packagePrivate];,constructors().that().arePrivate().should().notBeDeclaredInClassesThat().arePackagePrivate(),0
constructor [packagePrivate] should declaredIn class [final];,constructors().that().arePackagePrivate().should().beDeclaredInClassesThat().areFinal(),0
"constructor [public (haveNameMatching ""get"")] should declaredIn class [private];","constructors().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().arePrivate()",0
Trains Failed,Trains Failed,Trains Failed
"constructor [public (packagename ""specifiedPackage"")] should declaredIn class [public (packagename ""anotherSpecifiedPackage"")];","constructors().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
"constructor [(haveNameMatching ""regex"")] should declaredIn class [public (implement ""specifiedType"")];","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
"constructor [(haveNameMatching ""regex"")] should declaredIn class [static (packagename ""specifiedPackage"")];","constructors().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areStatic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"constructor [private] should beAnnotatedWith ""specifiedAnnotationType"";","constructors().that().arePrivate().should().beAnnotatedWith(""specifiedAnnotationType"")",0
"constructor[protected] should haveFullNameMatching ""regex"";","constructors().that().areProtected().should().haveFullNameMatching(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
constructor [packagePrivate (haveNameMatching â€œspecifiedRegexâ€?] should BePackagePrivate;,"constructors().that().arePackagePrivate().and().haveNameMatching(""specifiedRegex"").should().bePackagePrivate()",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"constructor [public] should haveNameStartingWith ""regex"";","constructors().that().arePublic().should().haveNameStartingWith(""regex"")",1
"constructor [private] should haveNameStartingWith ""regex"";","constructors().that().arePrivate().should().haveNameStartingWith(""regex"")",2
"constructor [public] should haveNameStartingWith ""regex"";","constructors().that().arePublic().should().haveNameStartingWith(""regex"")",1
Trains Failed,Trains Failed,Trains Failed
"constructor [static (packagename ""specifiedPackage"")] should BePublic;","constructors().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePublic()",0
"constructor [final (packagename ""specifiedPackage"")] should BePrivate;","constructors().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePrivate()",0
"member[private (packagename ""specifiedPackage"")] should BeProtected;","members().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beProtected()",0
constructor[public (packagename â€œspecifiedPackageâ€?] should BePackagePrivate;,"constructors().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePackagePrivate()",0
"constructor [(haveNameMatching ""regex"")] should BePublic;","constructors().that().haveNameMatching(""regex"").should().bePublic()",0
Trains Failed,Trains Failed,Trains Failed
"field [private] should declaredIn class (implement ""specifiedType"");","fields().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
"field [protected] should declaredIn class (packagename ""specified package"");","fields().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"field [private] should not declaredIn class [(packagename ""specified package"")] ;","fields().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
Trains Failed,Trains Failed,Trains Failed
"field [public (haveNameMatching ""get"")] should declaredIn class [(packagename ""specified package"")];","fields().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"field [private] should not declaredIn class [(packagename ""specified package"")] ;","fields().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"field [public (packagename ""specifiedPackage"")] should declaredIn class [(packagename ""anotherSpecifiedPackage"")];","fields().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
"field [(haveNameMatching ""regex"")] should declaredIn class (implement ""type"");","fields().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""type"")",0
Trains Failed,Trains Failed,Trains Failed
field [public] should declaredIn class [public];,fields().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
field [private] should declaredIn class [static];,fields().that().arePrivate().should().beDeclaredInClassesThat().areStatic(),0
field [protected] should declaredIn class [protected];,fields().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
field [private] should not declaredIn class [packagePrivate];,fields().that().arePrivate().should().notBeDeclaredInClassesThat().arePackagePrivate(),0
field [packagePrivate] should declaredIn class [final];,fields().that().arePackagePrivate().should().beDeclaredInClassesThat().areFinal(),0
"field [public (haveNameMatching ""get"")] should declaredIn class [private];","fields().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().arePrivate()",0
"field [private] should not declaredIn class [(packagename ""specifiedPackage"")] ;","fields().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"field [public (packagename ""specifiedPackage"")] should declaredIn class [public (packagename ""anotherSpecifiedPackage"")];","fields().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
"field [(haveNameMatching ""regex"")] should declaredIn class [public (implement ""specifiedType"")];","fields().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
"field [(haveNameMatching ""regex"")] should declaredIn class [static (packagename ""specifiedPackage"")];","fields().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areStatic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
"field [protected] should haveFullNameMatching ""regex"";","fields().that().areProtected().should().haveFullNameMatching(""regex"")",1
Trains Failed,Trains Failed,Trains Failed
field [packagePrivate (haveNameMatching â€œspecifiedRegexâ€?] should BePackagePrivate;,"fields().that().arePackagePrivate().and().haveNameMatching(""specifiedRegex"").should().bePackagePrivate()",0
"field [public] should haveNameEndingWith ""regex"";","fields().that().arePublic().should().haveNameEndingWith(""regex"")",3
"field [private] should not declaredIn class [(packagename ""specified package"")] ;","fields().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"field [public] should haveNameStartingWith ""specifiedTypeName"";","fields().that().arePublic().should().haveNameStartingWith(""specifiedTypeName"")",2
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"field [static (packagename ""specified package"")] should BePublic;","fields().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""specified package"").should().bePublic()",0
"field[final (packagename ""specifiedPackage"")] should BePrivate;","fields().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePrivate()",0
"field [private (packagename ""specifiedPackage"")] should BeProtected;","fields().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beProtected()",0
field[public (packagename â€œspecifiedPackageâ€?] should BePackagePrivate;,"fields().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePackagePrivate()",0
"field [(haveNameMatching ""regex"")] should BeFinal;","fields().that().haveNameMatching(""regex"").should().beFinal()",0
Trains Failed,Trains Failed,Trains Failed
"member [private] should declaredIn class (implement ""specifiedType"");","members().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
"member [protected] should declaredIn class [(packagename ""specifiedPackage"")];","members().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
"member [packagePrivate (packagename ""specifiedPackage"")] should declaredIn class [(packagename ""specifiedPackage"")];","members().that().arePackagePrivate().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"member[public (haveNameMatching ""get"")] should declaredIn class [(packagename ""specified package"")];","members().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"member [private] should not declaredIn class [(packagename ""specified package"")] ;","members().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"member [public (packagename ""specifiedPackage"")] should declaredIn class [(packagename ""anotherSpecifiedPackage"")];","members().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
"member [(haveNameMatching ""regex"")] should declaredIn class (implement ""type"");","members().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""type"")",0
"member [(haveNameMatching ""regex"")] should declaredIn class (packagename ""specifiedPackage"");","members().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",1
member [public] should declaredIn class [public];,members().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
member [private] should declaredIn class [static];,members().that().arePrivate().should().beDeclaredInClassesThat().areStatic(),0
member [protected] should declaredIn class [protected];,members().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
member [private] should not declaredIn class [packagePrivate];,members().that().arePrivate().should().notBeDeclaredInClassesThat().arePackagePrivate(),0
member [packagePrivate] should declaredIn class [final];,members().that().arePackagePrivate().should().beDeclaredInClassesThat().areFinal(),0
"member[public (haveNameMatching ""get"")] should declaredIn class[private];","members().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().arePrivate()",0
"member [private] should not declaredIn class [(packagename ""specifiedPackage"")] ;","members().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"member [public (packagename ""specifiedPackage"")] should declaredIn class [public (packagename ""anotherSpecifiedPackage"")];","members().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
"member [(haveNameMatching ""regex"")] should declaredIn class [public (implement ""specifiedType"")];","members().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
"member [(haveNameMatching ""regex"")] should declaredIn class [static (packagename ""specifiedPackage"")];","members().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areStatic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
Trains Failed,Trains Failed,Trains Failed
"member [protected] should haveFullNameMatching ""regex"";","members().that().areProtected().should().haveFullNameMatching(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
member [packagePrivate (haveNameMatching â€œregexâ€?] should BePackagePrivate;,"members().that().arePackagePrivate().and().haveNameMatching(""regex"").should().bePackagePrivate()",0
"member [public] should haveNameEndingWith ""regex"";","members().that().arePublic().should().haveNameEndingWith(""regex"")",1
"member [private] should not declaredIn class [(packagename ""specifiedPackage"")] ;","members().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"member [public] should haveNameStartingWith ""regex"";","members().that().arePublic().should().haveNameStartingWith(""regex"")",2
"member[private] should haveNameStartingWith ""regex"";","members().that().arePrivate().should().haveNameStartingWith(""regex"")",2
"member [public] should haveNameStartingWith ""regex"";","members().that().arePublic().should().haveNameStartingWith(""regex"")",3
Trains Failed,Trains Failed,Trains Failed
"member [static (packagename ""specifiedPackage"")] should BePublic;","members().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePublic()",0
"member [final (packagename ""specifiedPackage"")] should BePrivate;","members().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePrivate()",0
"member[private (packagename ""specified package"")] should BeProtected;","members().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""specified package"").should().beProtected()",0
member[public (packagename â€œspecifiedPackageâ€?] should BePackagePrivate;,"members().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().bePackagePrivate()",0
"member [(haveNameMatching ""specified regex"")] should BePublic;","members().that().haveNameMatching(""specified regex"").should().bePublic()",0
"method [public] should not declaredIn class [(packagename ""specified package"")] ;","methods().that().arePublic().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"method [private] should declaredIn class (implement ""specifiedType"");","methods().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""specifiedType"")",0
"method [protected] should declaredIn class (packagename ""specified package"");","methods().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"method [final] should not declaredIn class [(packagename ""specified package"")] ;","methods().that().haveModifier(JavaModifier.FINAL).should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"method [packagePrivate (packagename ""specifiedPackage"")] should declaredIn class [(packagename ""specifiedPackage"")];","methods().that().arePackagePrivate().and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",2
"method [public (haveNameMatching ""get"")] should declaredIn class [(packagename ""specified package"")];","methods().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
Trains Failed,Trains Failed,Trains Failed
"method [public static (packagename ""specifiedPackage"")] should not declaredIn class [(packagename ""anotherSpecifiedPackage"")] ;","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""anotherSpecifiedPackage"")",0
"method [public static (haveNameMatching ""X1"")] should declaredIn class [(packagename ""specified package"")];","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
method[protected final (haveNameMatching â€œX1â€?] should declaredIn class [(packagename â€œspecified packageâ€?];,"methods().that().areProtected().and().haveModifier(JavaModifier.FINAL).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
method [public] should declaredIn class [public];,methods().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
method [private] should declaredIn class [private];,methods().that().arePrivate().should().beDeclaredInClassesThat().arePrivate(),0
method [protected] should declaredIn class [protected];,methods().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
method[final] should not declaredIn class[final];,methods().that().haveModifier(JavaModifier.FINAL).should().notBeDeclaredInClassesThat().areFinal(),0
method [packagePrivate] should declaredIn class [packagePrivate];,methods().that().arePackagePrivate().should().beDeclaredInClassesThat().arePackagePrivate(),0
"method[public (haveNameMatching ""get"")] should declaredIn class [final];","methods().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areFinal()",0
method [private final] should declaredIn class [packagePrivate];,methods().that().arePrivate().and().haveModifier(JavaModifier.FINAL).should().beDeclaredInClassesThat().arePackagePrivate(),0
"method[public static (packagename ""specifiedPackage"")] should not declaredIn class[public static];","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"").should().notBeDeclaredInClassesThat().arePublic().andShould().notBeDeclaredInClassesThat().areStatic()",0
"method [public static (haveNameMatching ""regex"")] should declaredIn class [public (packagename ""specifiedPackage"")];","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specifiedPackage"")",0
"method [protected final (haveNameMatching ""X1"")] should declaredIn class [static (packagename ""specified package"")];","methods().that().areProtected().and().haveModifier(JavaModifier.FINAL).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().areStatic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""specified package"")",0
"method [public] should beAnnotatedWith ""specifiedAnnotationType"";","methods().that().arePublic().should().beAnnotatedWith(""specifiedAnnotationType"")",0
"method [private (haveNameMatching ""specifiedName"")] should declaredIn class (haveNameMatching ""specifiedName"");","methods().that().arePrivate().and().haveNameMatching(""specifiedName"").should().beDeclaredInClassesThat().haveNameMatching(""specifiedName"")",0
